Company,Symbol,Weight,Price,,,,,,,,,,,,,,,,,,,,Country
Seagate Technology,STX,0.16%,411.23,,,,,,,,,,,,,,,,,,,,USA
CVS Health,CVS,0.15%,71.48,,,,,,,,,,,,,,,,,,,,USA
Trane Technologies,TT,0.15%,410.36,,,,,,,,,,,,,,,,,,,,USA
Intercontinental Exchange,ICE,0.15%,158.43,,,,,,,,,,,,,,,,,,,,USA
Williams Companies,WMB,0.15%,72.41,,,,,,,,,,,,,,,,,,,,USA
Blackstone Inc.,BX,0.15%,110.43,,,,,,,,,,,,,,,,,,,,USA
"Marsh & McLennan Companies, Inc.",MRSH,0.15%,176.48,,,,,,,,,,,,,,,,,,,,USA
Marriott International,MAR,0.14%,319.76,,,,,,,,,,,,,,,,,,,,USA
FedEx,FDX,0.14%,358.85,,,,,,,,,,,,,,,,,,,,USA
Automatic Data Processing,ADP,0.14%,208.69,,,,,,,,,,,,,,,,,,,,USA
Quanta Services,PWR,0.14%,555.39,,,,,,,,,,,,,,,,,,,,USA
American Tower,AMT,0.14%,176.79,,,,,,,,,,,,,,,,,,,,USA
United Parcel Service,UPS,0.14%,95.86,,,,,,,,,,,,,,,,,,,,USA
PNC Financial Services,PNC,0.14%,201.71,,,,,,,,,,,,,,,,,,,,USA
Synopsys,SNPS,0.14%,420.32,,,,,,,,,,,,,,,,,,,,USA
KKR,KKR,0.14%,90,,,,,,,,,,,,,,,,,,,,USA
U.S. Bancorp,USB,0.14%,51.25,,,,,,,,,,,,,,,,,,,,USA
Johnson Controls,JCI,0.13%,129.7,,,,,,,,,,,,,,,,,,,,USA
BNY Mellon,BK,0.13%,114.94,,,,,,,,,,,,,,,,,,,,USA
Cadence Design Systems,CDNS,0.13%,283.9,,,,,,,,,,,,,,,,,,,,USA
"Nike, Inc.",NKE,0.13%,52.37,,,,,,,,,,,,,,,,,,,,USA
Regeneron Pharmaceuticals,REGN,0.13%,732.87,,,,,,,,,,,,,,,,,,,,USA
Moody's Corporation,MCO,0.13%,435.12,,,,,,,,,,,,,,,,,,,,USA
Airbnb,ABNB,0.13%,128.52,,,,,,,,,,,,,,,,,,,,USA
Sherwin-Williams,SHW,0.13%,303.53,,,,,,,,,,,,,,,,,,,,USA
Motorola Solutions,MSI,0.13%,452.35,,,,,,,,,,,,,,,,,,,,USA
