Company Name,Industry,Symbol,Series,ISIN Code,Country
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,India
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011,India
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,India
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,India
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,India
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027,India
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,India
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,India
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,India
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,India
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,India
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,India
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,India
Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,INE1NPP01017,India
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,India
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,India
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018,India
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,India
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011,India
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,India
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028,India
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021,India
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014,India
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,India
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013,India
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,India
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,India
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012,India
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022,India
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,India
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,India
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025,India
